Sync Dokan Vendor,Dokan Vendor abgleichen
WooCommerce,WooCommerce
Sync Dokan Store for {0}?,Dokan Store für {0} abgleichen?
Checking Dokan Stores...,Dokan Stores werden überprüft...
Store Not Found,Store nicht gefunden
Searched name,Gesuchter Name
Total stores,Gesamtzahl der Stores
Note: Store name must match exactly with Supplier Name.,Hinweis: Der Store-Name muss genau mit dem Lieferantennamen übereinstimmen.
Error,Fehler
API Error,API-Fehler
Could not connect to Dokan API.,Verbindung zur Dokan-API konnte nicht hergestellt werden.
Bulk Sync Dokan Vendors,Massen-Abgleich Dokan Vendors
Please select at least one Supplier,Bitte wählen Sie mindestens einen Lieferanten aus
Sync Dokan Vendors for {0} Suppliers?,Dokan Vendors für {0} Lieferanten abgleichen?
Selected Suppliers,Ausgewählte Lieferanten
Syncing Dokan Stores...,Dokan Stores werden abgeglichen...
Bulk Sync Completed,Massen-Abgleich abgeschlossen
Sync Results,Abgleich-Ergebnisse
OK,OK
Supplier name not found,Lieferantenname nicht gefunden
Could not fetch Dokan Stores,Dokan Stores konnten nicht abgerufen werden
Dokan Vendor found and matched,Dokan Vendor gefunden und abgeglichen
No Dokan Store found with name '{0}',Kein Dokan Store mit dem Namen '{0}' gefunden
Error: {0},Fehler: {0}
Valid supplier list not found,Gültige Lieferantenliste nicht gefunden
✅ Matched: {0}<br>⚠️ Not Found: {1}<br>❌ Error: {2},✅ Abgeglichen: {0}<br>⚠️ Nicht gefunden: {1}<br>❌ Fehler: {2}
Not Found,Nicht gefunden
First 10 not found,Erste 10 nicht gefunden
Bulk sync error: {0},Massen-Abgleich-Fehler: {0}
Product has no price,Produkt hat keinen Preis
Product price not defined. Product will be added as Draft,Produktpreis nicht definiert. Produkt wird als Entwurf hinzugefügt
Item successfully synchronized to WooCommerce,Artikel erfolgreich mit WooCommerce synchronisiert
Item successfully synchronized to Portal,Artikel erfolgreich mit Portal synchronisiert
Product successfully deleted from WooCommerce,Produkt erfolgreich aus WooCommerce gelöscht
B2B Group created successfully: {0},B2B-Gruppe erfolgreich erstellt: {0}
Error occurred while creating B2B Group,Fehler beim Erstellen der B2B-Gruppe
An error occurred while creating B2B Group,Ein Fehler ist beim Erstellen der B2B-Gruppe aufgetreten
Customer name not found,Kundenname nicht gefunden
B2B Group created successfully,B2B-Gruppe erfolgreich erstellt
Failed to create B2B Group,B2B-Gruppe konnte nicht erstellt werden
Agreement category visibility updated successfully,Vereinbarungskategoriesichtbarkeit erfolgreich aktualisiert
Category {0} updated successfully,Kategorie {0} erfolgreich aktualisiert
Agreement categories sync completed,Vereinbarungskategorien-Synchronisation abgeschlossen
No categories to update,Keine Kategorien zum Aktualisieren
Customer B2B Group ID not found,Kunden B2B-Gruppen-ID nicht gefunden
No item groups found in agreement items,Keine Artikelgruppen in Vereinbarungspositionen gefunden




